the_geom,FECHA_DE_I,TIPO_DE_IN,CODIGO_ARB,ESPECIE,NOMBRE_COM,MUNICIPIO,COMUNA,BARRIO,DIRECCION,LATITUD,LONGITUD,ESTRATO
POINT (-75.5690706 6.22374443),2023 Jun 28 12:00:00 AM,Poda de Mantenimiento,114.040.040.278,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,El Poblado,Castropol,Carrera 43A N 24-30,"6,22374443","-75,5690706",3
POINT (-75.587781 6.22358323),2023 Dec 02 12:00:00 AM,Poda de Mantenimiento,115.040.001.573,Koelreuteria paniculata,Lluvia de oro,Medellín,Guayabal,Santa Fé,Carrera 66 N 18-67,"6,22358323","-75,587781",3
POINT (-75.569341 6.2232699),2023 Apr 24 12:00:00 AM,Poda de Mantenimiento,114.010.000.485,Bunchosia armeniaca,"Ciruela, confite, ciruelo de perro , ciruelo, guaimaro, ciruelo peruano",Medellín,El Poblado,Barrio Colombia,Carrera 43A  N 23-21.,"6,2232699","-75,569341",3
POINT (-75.6059422 6.22299486),2023 Aug 24 12:00:00 AM,Poda de Mantenimiento,116.120.000.401,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Belén,La Gloria,Carrera 83 N 17-21,"6,22299486","-75,6059422",3
POINT (-75.5942588 6.22283595),2023 Nov 09 12:00:00 AM,Poda de Mantenimiento,116.060.000.505,Eriobotrya japonica,"Níspero del japón, níspero japonés, nisperito, níspero",Medellín,Belén,Las Playas,"Carrera 72 N 18-12, Al frente","6,22283595","-75,5942588",3
POINT (-75.5943782 6.222324),2023 Nov 10 12:00:00 AM,Poda de Mantenimiento,116.060.000.511,Matisia cordata,"zapote, chupa chupa, chupachupa , sapote , zapote chupachupa",Medellín,Belén,Las Playas,"Carrera 72 N 17-06, Al Frente","6,222324","-75,5943782",3
POINT (-75.5693625 6.22185404),2023 Apr 25 12:00:00 AM,Poda de Mantenimiento,114.030.000.364,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,El Poblado,Villa Carlota,"Carrera 43A N 19-144, Separador vial, Avenida El Poblado","6,22185404","-75,5693625",3
POINT (-75.5942899 6.22180214),2023 Nov 10 12:00:00 AM,Poda de Mantenimiento,116.060.000.516,Bixa orellana,"Achiote, Achote, Bija",Medellín,Belén,Las Playas,Calle 16 N 71-100,"6,22180214","-75,5942899",3
POINT (-75.5943973 6.22162716),2023 Nov 10 12:00:00 AM,Poda de Mantenimiento,116.060.000.388,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Belén,Las Playas,"Carrera 72 N 15-28, Al Frente","6,22162716","-75,5943973",3
POINT (-75.5945126 6.2215155),2023 Nov 10 12:00:00 AM,Poda de Mantenimiento,116.060.000.518,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Belén,Las Playas,"Carrera 72 N 15-14, Al Frente","6,2215155","-75,5945126",3
